,Question,Answer,Solution,url
0,"6) A river always has 

A. Banks
B. Boats
C. Delta
D. Tributaries
E. Fishes


",A,"A river cannot exist without banks.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-2
1,"7) A tree always has 

A. Leaves
B. Fruits 
C. Flowers
D. Shadow
E. Roots


",E,"A tree cannot grow or exist without roots.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-2
2,"8) A camera always has 

A. Lens
B. Memory card
C. Flash
D. Photograph
E. Stand


",A,"A camera cannot work without the lens.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-2
3,"9) A hospital always has 

A. Bed 
B. Cafeteria
C. Chemist shop
D. Doctor
E. Nurse


",D,"A hospital is set up to treats people, and a doctor is the authorized person to treat people.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-2
4,"10) A pen always has 

A. Ink
B. Cap
C. Nib 
D. Holder
E. Tube


",C,"The nib is an integral part of a pen; a pen cannot write without a nib.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-2
0,"11) You cannot play cricket without

A. Pitch 
B. Bat
C. Glove
D. Pads
E. Helmet


",B,"Cricket cannot be played without bat; to hit the ball, you need a bat.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-3
1,"12) A shoe always has 

A. leather 
B. Sole
C. Laces
D. Heel


",B,"Sole is the bottom of a shoe; it is an important part of a shoe.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-3
2,"13) A lotus flower always has 

A. Petals
B. Mud
C. Root
D. Water


",A,"Petals are important parts of a flower. A flower is not complete without petals.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-3
3,"14) A disease always has

A. Cure 
B. Medicine
C. Cause
D. Germs


",C,"A disease always has a cause.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-3
4,"15) A hill always has 

A. Trees
B. Animals
C. Height
D. Birds


",C,"A hill is an elevation of the earth's surface, so it always has height.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-3
0,"16) Atmosphere always has

A. Oxygen
B. Air
C. Moisture
D. Dust


",B,"The atmosphere cannot exist without air. All other options are parts of an atmosphere.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-4
1,"17) A child must have had

A. Friends
B. Toys
C. Education
D. Parents


",D,"Parents are most important for a child; the rest of the things can be arranged by money, charity, etc.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-4
2,"18) A diamond must have

A. Brilliance
B. Conductivity
C. Hardness
D. Sharpness


",C,"A diamond is always hard. It is known for its hardness.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-4
3,"19) Which of the following always associated with a bargain?

A. Discount
B. Honesty
C. Dishonesty
D. Exchange


",D,"A bargain will always involve an exchange.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-4
4,"20) A bus always has

A. Wheels
B. Driver
C. Bonnet
D. Bumper


",A,"A bus is a vehicle that moves. It always needs wheels to move.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-4
0,"21) A jail always has

A. Bars
B. Jailor
C. Prisoner
D. Lock


",D,"A Jail always has a lock to ensure prisoners don't escape.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-5
1,"22) A fan always has

A. Regulator
B. Current
C. Switch 
D. Blades


",D,"A fan always has blades as without blades it cannot produce air.
",https://www.javatpoint.com/verification-of-the-truth-of-the-statement-5
